id,verbo,modo,tiempo,yo,tu,el,ns,vs,ellos
1,abandonar,Indicativo,Presente,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan
2,abandonar,Indicativo,Pretérito,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron
3,abandonar,Indicativo,Futuro,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán
4,abandonar,Condicional,Condicional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían
5,abandonar,Indicativo,Imperfecto,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban
6,abandonar,Indicativo,Presente progresivo,estoy abandonando,estás abandonando,está abandonando,estamos abandonando,estáis abandonando,están abandonando
7,abandonar,Indicativo,Pretérito perfecto,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado
8,abandonar,Indicativo,Pluscuamperfecto,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado
9,abandonar,Indicativo,Futuro perfecto,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado
10,abandonar,Condicional,Condicional perfecto,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado
11,abandonar,Indicativo,Pretérito anterior,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado
12,abandonar,Subjuntivo,Subjuntivo presente,abandone,abandones,abandone,abandonemos,abandonéis,abandonen
13,abandonar,Subjuntivo,Subjuntivo imperfecto,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran
14,abandonar,Subjuntivo,Subjuntivo imperfecto,abandonase,abandonases,abandonase,abandonásemos,abandonaseis,abandonasen
15,abandonar,Subjuntivo,Subjuntivo futuro,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren
16,abandonar,Subjuntivo,Subjuntivo pretérito perfecto,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado
17,abandonar,Subjuntivo,Subjuntivo pluscuamperfecto,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado
18,abandonar,Subjuntivo,Subjuntivo pluscuamperfecto,hubiese abandonado,hubieses abandonado,hubiese abandonado,hubiésemos abandonado,hubieseis abandonado,hubiesen abandonado
19,abandonar,Subjuntivo,Subjuntivo futuro perfecto,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado
20,abandonar,Imperativo,Imperativo positivo,,abandona,abandone,abandonemos,abandonad,abandonen
21,abandonar,Imperativo,Imperativo negativo,,abandones,abandone,abandonemos,abandonéis,abandonen
22,abordar,Indicativo,Presente,abordo,abordas,aborda,abordamos,abordáis,abordan
