id,verbo,gerund,partpasado,irregular,tipo,reflexivo,comun,trad_en
1,abandonar,abandonando,abandonado,0,,0,1,"to abandon, leave behind, desert; to quit, give up"
2,abordar,abordando,abordado,0,,0,0,"to board, get on [plane, bus, etc.]; to approach, accost [a person]"
3,abortar,abortando,abortado,0,,0,0,"to abort, cause to miscarry; to have a miscarriage"
4,abrazar,abrazando,abrazado,1,ze > ce (-zar),0,0,"to hug, embrace"
5,abrir,abriendo,abierto,1,,0,1,to open
6,aburrir,aburriendo,aburrido,0,,0,0,"to bore; to tire, weary"
7,aburrirse,aburriéndose,aburrido,0,,1,1,"to get bored, become bored, be bored"
8,abusar,abusando,abusado,0,,0,0,"to go too far, take advantage"
9,acabar,acabando,acabado,0,,0,0,"to finish, end"
10,acampar,acampando,acampado,0,,0,0,"to camp, encamp, go camping"
11,aceptar,aceptando,aceptado,0,,0,0,"to accept, approve; to agree to"
12,acercar,acercando,acercado,1,ce > que (-car),0,0,"to bring near[er], move [something] nearer"
13,acercarse,acercándose,acercado,0,,1,0,to approach
14,acompañar,acompañando,acompañado,0,,0,0,"to accompany, go with, escort"
15,aconsejar,aconsejando,aconsejado,0,,0,0,to advise
16,acontecer,aconteciendo,acontecido,1,c > zc,0,0,"to happen, occur, come about"
17,acordar,acordando,acordado,1,o > ue,0,1,"to decide, resolve, agree [on]"
18,acordarse,acordándose,acordado,1,o > ue,1,0,to remember
19,acortar,acortando,acortado,0,,0,0,to shorten
20,acostar,acostando,acostado,1,o > ue,0,1,to put to bed
21,acostarse,acostándose,acostado,1,o > ue,1,0,"to go to bed, lie down"
22,acostumbrar,acostumbrando,acostumbrado,0,,0,0,"to be accustomed to, be in the habit of; to get"
23,acostumbrarse,acostumbrándose,acostumbrado,0,,1,1,"to get used to, get accustomed to"
24,actuar,actuando,actuado,1,u > ú,0,0,"to act, perform, actuate, operate"
25,adivinar,adivinando,adivinado,0,,0,0,"to guess, fortell, prophesy; to guess correctly"
26,admirar,admirando,admirado,0,,0,0,"to admire, respect, look up to"
27,admitir,admitiendo,admitido,0,,0,0,"to admit, accept, allow, recognize"
28,adorar,adorando,adorado,0,,0,0,"to adore, worship"
29,adornar,adornando,adornado,0,,0,0,"to adorn; to decorate, embellish; to garnish [food]"
30,advertir,advirtiendo,advertido,1,e > ie,0,0,"to notice, observe, advise, warn"
31,afeitar,afeitando,afeitado,0,,0,0,to shave
32,afeitarse,afeitándose,afeitado,0,,1,0,to shave [oneself]
33,afirmar,afirmando,afirmado,0,,0,0,"to make firm, steady, strengthen; to affirm, state, assert"
34,afligir,afligiendo,afligido,1,g > j,0,0,"to afflict, to grieve, to pain, to distress"
35,agorar,agorando,agorado,1,o > ue,0,0,"to predict, prophesy"
36,agradar,agradando,agradado,0,,0,0,"to please, be pleasing"
37,agradecer,agradeciendo,agradecido,1,c > zc,0,0,to be thankful for
38,aguantar,aguantando,aguantado,0,,0,0,"to put up with, endure, bear, stand"
39,ahorcar,ahorcando,ahorcado,1,ce > que (-car),0,0,to hang
40,ahorrar,ahorrando,ahorrado,0,,0,0,to save
41,alcanzar,alcanzando,alcanzado,1,ze > ce (-zar),0,0,"to reach, catch, catch up to, catch up with"
42,alegrar,alegrando,alegrado,0,,0,0,"to make happy, cheer [up], gladden"
43,alegrarse,alegrándose,alegrado,0,,1,0,"to be glad, happy; to become/get happy; to rejoice"
44,alentar,alentando,alentado,1,e > ie,0,0,"to encourage, cheer, inspire, bolster up"
45,aliviar,aliviando,aliviado,0,,0,0,"to alleviate, ease, lessen, lighthen, relieve"
46,almorzar,almorzando,almorzado,1,o > ue,0,1,"to lunch, eat lunch, have lunch"
47,alquilar,alquilando,alquilado,0,,0,1,"to rent; to rent out, let"
48,amanecer,amaneciendo,amanecido,1,c > zc,0,0,to dawn
49,amar,amando,amado,0,,0,1,to love
50,amenazar,amenazando,amenazado,1,ze > ce (-zar),0,0,"to threaten, menace"
51,añadir,añadiendo,añadido,0,,0,0,to add; to increase
52,andar,andando,andado,1,,0,1,"to walk, go"
53,anhelar,anhelando,anhelado,0,,0,0,"to be eager for/to, long for/to, yearn for/to"
54,anunciar,anunciando,anunciado,0,,0,0,to announce
55,apagar,apagando,apagado,1,g > gu (-gar),0,1,"to extinguish, put out, turn off"
56,aparecer,apareciendo,aparecido,1,c > zc,0,0,to appear
57,aplaudir,aplaudiendo,aplaudido,0,,0,0,"to applaud, cheer, clap"
58,aplicar,aplicando,aplicado,1,ce > que (-car),0,0,to apply
59,apostar,apostando,apostado,1,o > ue,0,0,"to bet, wager"
60,apoyar,apoyando,apoyado,0,,0,0,"to support, hold up, prop up; to back"
61,apreciar,apreciando,apreciado,0,,0,0,"to appreciate, value, esteem, estimate, notice"
62,aprender,aprendiendo,aprendido,0,,0,0,to learn
63,apretar,apretando,apretado,1,e > ie,0,0,to be too tight; to squeeze; to tighten [up]; to press [down/against]
64,aprobar,aprobando,aprobado,1,o > ue,0,0,to pass
65,arreglar,arreglando,arreglado,0,,0,1,"to arrange, settle, fix up, repair, tidy up"
66,arrepentirse,arrepintiéndose,arrepentido,1,e > i,1,0,"to repent, be repentant, regret"
67,arrojar,arrojando,arrojado,0,,0,0,"to throw, hurl, cast, toss"
